PROJECT_NAME,DATA_DESCRIPTION,KEYWORD,KEYWORD2,LANGUAGE,INSTITUTION,INSTITUTION2,SCIENTIFIC_FIELD,SCIENTIFIC_FIELD2,PROJECT_COUNTRY,PROJECT_PROVINCE,PROJECT_AREA,PROJECT_CODE,FILE_CREATOR_NAME,FILE_CREATOR_FIRST_NAME,FILE_CREATOR_MAIL,CREATION_DATE,REFERENT_NAME,REFERENT_FIRST_NAME,REFERENT_MAIL,REFERENT_NAME2,REFERENT_FIRST_NAME2,REFERENT_MAIL2,SAMPLING_POINT-NAME,SAMPLING_POINT-COORDINATE_SYSTEM,SAMPLING_POINT-ABBREVIATION,SAMPLING_POINT-LONGITUDE,SAMPLING_POINT-LATITUDE,SAMPLING_POINT-ELEVATION,SAMPLING_POINT-DESCRIPTION,COORDINATE_SYSTEM_NAD,X_NAD,Y_NAD,Z_NAD,FILE_CREATOR_DISPLAY_NAME,TITLE,SAMPLE_NAME,SAMPLE_NAME_ORANO,SAMPLE_NAME_GEORESSOURCES,SAMPLE_TYPE,SAMPLING_DATE,HOLEID,HOLEID_LATITUDE,HOLEID_LONGITUDE,HOLEID_ELEVATION,HOLEID_X_NAD,HOLEID_Y_NAD,HOLEID_Z_NAD,SAMPLE_DEPTH_FROM,SAMPLE_DEPTH_TO,LITHOLOGY_ORANO,FORMATION_ORANO,LITHOLOGY,LITHOLOGY_2,LITHOLOGY_3,TEXTURE_STRUCTURE,TEXTURE_STRUCTURE_2,ORE_TYPE,ORE_TYPE_2,ORE_TYPE_3,HOST_AGE,MAIN_EVENT_AGE,ALTERATION_DEGREE,PICTURE,PICTURE2,PICTURE3,SAMPLE_LOCATION_BUILDING,STORAGE_ACCESS_REFERENT,SAMPLE_LOCATION_ROOM,SAMPLE_LOCATION_SHELF,SAMPLE_LOCATION_BOX,SAMPLE_LOCATION_BOX_TYPE,SAFETY_CONSTRAINTS,METHODOLOGY-SAMPLING,METHODOLOGY-SAMPLE_CONDITIONNING,METHODOLOGY-ANALYSIS,METHODOLOGY-SAMPLE,MEASUREMENT-ABBREV,MEASUREMENT-NATURE,MEASUREMENT-UNIT,ANALYSIS_LABORATORY,ANALYSIS_ABBREV,Vp_short_axis,Vp_long_axis,Vs_short_axis,Vs_long_axis,Vp_short_axis_sature,Vp_long_axis_sature,Vs_short_axis_sature,Vs_long_axis_sature,Absolute_solid_density,Bulk_density,Permeability,Magnetic_susceptibility,Resistivity_DC,Resistivity_AC_1hz,Resistivity_AC_10Khz,Thermic_conductivity,Poisson_ratio,Young_modulus,Graphite_prop_Imagery,Porosity_H2O,Porosity_He,Porosity_Hg,Kv,Estimated_qtz_fraction_paleo_brine_mix
text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,deg,deg,m,text,text,m,m,m,text,text,text,text,text,text,text,text,deg,deg,m,m,m,m,m,m,text,text,text,text,text,text,text,text,text,text,,,,,,,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,m.s-1,m.s-1,m.s-1,m.s-1,m.s-1,m.s-1,m.s-1,m.s-1,g.cm-3,g.cm-3,m2,SI,ohm.m,ohm.m,ohm.m,W.m-1.K-1,,,percent,percent,percent,,m2,
Thesis_Martin_Quessandier,petrophysical_caracteristics,URANIUM,,ENGLISH,UNIVERSITY_OF_LORRAINE_ENSG,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,CIGAR_MAIN,CIGAR,QUESSANDIER,Martin,martin.quessandier@univ-lorraine.fr,19/10/2021,GERAUD,Yves,yves.geraud@univ-lorraine.fr,MERCADIER,Julien,julien.mercadier@univ-lorraine.fr,WC504--578-8--578-9,WGS84 Greenwich,,-104.5953377,58.08392339,-52.03803313,,NAD83_UTM_zone_13N,523864.0298,6438124.276,-52.03803313,Pierre_Cosme,Database_Quessandier_Thesis,WC504--578-8-578-9,ARCPET000821,,Rock,,WC____504___,58.08235812,-104.5951686,499.309,523875.051,6437950.069,499.309,578.8,578.9,GranD,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,ALTERED,,,,,,,,22,,,,,,,PETRO,PETROPHYSICS,text,ENSG,PETRO,4213,4162,2201.5,1932.5,4779,4848.5,2264.5,2522,2.655,2.505,2.46E-13,,,,,3.848,0.363,25.489,,6.314,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC527--755-1--755-1,WGS84 Greenwich,,-104.5961641,58.08377126,-205.7142059,,NAD83_UTM_zone_13N,523815.4013,6438107.048,-205.7142059,D_Beneteau,,WC527--1MAS--57,,,BSMT,,WC____527___,58.08097569,-104.5956654,480.673,523846.672,6437795.983,480.673,755.1,755.1,GranT,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,AREVA,PETRO,5272.96,,3020.51,,,,,,,2.54,2.87E-12,,,19,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC527--764-4--764-4,WGS84 Greenwich,,-104.5961587,58.08380525,-214.2035637,,NAD83_UTM_zone_13N,523815.6966,6438110.834,-214.2035637,D_Beneteau,,WC527--1MAS--58,,,BSMT,,WC____527___,58.08097569,-104.5956654,480.673,523846.672,6437795.983,480.673,764.4,764.4,GranT,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,AREVA,PETRO,5861.03,,3368.39,,,,,,,2.67,7.80E-13,,,20,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC527--790-9--790-9,WGS84 Greenwich,,-104.5961408,58.08390219,-238.3830299,,NAD83_UTM_zone_13N,523816.6886,6438121.632,-238.3830299,D_Beneteau,,WC527--1MAS--60,,,BSMT,,WC____527___,58.08097569,-104.5956654,480.673,523846.672,6437795.983,480.673,790.9,790.9,GranT,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,AREVA,PETRO,5329.67,,2978.94,,,,,,,2.64,1.61E-12,,,19,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC527--829--829,WGS84 Greenwich,,-104.5961115,58.08404162,-273.1334443,,NAD83_UTM_zone_13N,523818.324,6438137.167,-273.1334443,D_Beneteau,,WC527--1MAS--62,,,BSMT,,WC____527___,58.08097569,-104.5956654,480.673,523846.672,6437795.983,480.673,829,829,GranT,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,AREVA,PETRO,6117.05,,3621.54,,,,,,,2.61,3.95E-13,,,23,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC527--866-5--866-5,WGS84 Greenwich,,-104.5960696,58.08417845,-307.3110672,,NAD83_UTM_zone_13N,523820.7009,6438152.414,-307.3110672,D_Beneteau,,WC527--1MAS--65,,,BSMT,,WC____527___,58.08097569,-104.5956654,480.673,523846.672,6437795.983,480.673,866.5,866.5,GranT,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,AREVA,PETRO,6119.98,,3536.22,,,,,,,2.61,2.47E-13,,,14,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC528--520-4--0,WGS84 Greenwich,,-104.5964559,58.08291566,8.125606794,,NAD83_UTM_zone_13N,523798.7642,6438011.687,8.125606794,D_Beneteau,,WC528--1MAS--31,,,BSMT,,WC____528___,58.08341953,-104.5883353,486.554,524277.31,6438070.677,486.554,520.4,520.5,GranT,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,AREVA,PETRO,5591.08,,3347.28,,,,,,,2.61,9.47E-13,,,15,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC528--540-9--0,WGS84 Greenwich,,-104.596433,58.08299045,-10.55816037,,NAD83_UTM_zone_13N,523800.0636,6438020.023,-10.55816037,D_Beneteau,,WC528--1MAS--32,,,BSMT,,WC____528___,58.08341953,-104.5883353,486.554,524277.31,6438070.677,486.554,540.9,541,GranT,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,AREVA,PETRO,4812.44,,2892.41,,,,,,,2.54,4.03E-12,,,16,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC528--559-9--0,WGS84 Greenwich,,-104.5964118,58.08305978,-27.87482263,,NAD83_UTM_zone_13N,523801.2678,6438027.748,-27.87482263,D_Beneteau,,WC528--1MAS--33,,,BSMT,,WC____528___,58.08341953,-104.5883353,486.554,524277.31,6438070.677,486.554,559.9,560,GranT,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,AREVA,PETRO,5014.37,,2887.84,,,,,,,2.61,2.77E-12,,,15,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC528--578-4--0,WGS84 Greenwich,,-104.5963911,58.08312728,-44.73578324,,NAD83_UTM_zone_13N,523802.4404,6438035.271,-44.73578324,D_Beneteau,,WC528--1MAS--34,,,BSMT,,WC____528___,58.08341953,-104.5883353,486.554,524277.31,6438070.677,486.554,578.4,578.5,GranT,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,AREVA,PETRO,5503.65,,3107.72,,,,,,,2.78,2.06E-12,,,18,,,,,,,,,,
Report_Submitted_to_Areva_Resources_Inc,petrophysical_WC_Powerline_Core_Samples,URANIUM,,ENGLISH,UNIVERSITY_OF_SASKATCHEWAN,ORANO,GEOLOGY,PETROPHYSIC,CANADA,SASKATCHEWAN,,,BENETEAU,D,,2018-03-01,MEHMOOD,S,,,,,WC528--603--0,WGS84 Greenwich,,-104.5963637,58.08321703,-67.15630384,,NAD83_UTM_zone_13N,523803.9996,6438045.273,-67.15630384,D_Beneteau,,WC528--1MAS--35,,,BSMT,,WC____528___,58.08341953,-104.5883353,486.554,524277.31,6438070.677,486.554,603,603.1,GranT,,MAGMATIC_INTRUSIVE,FELSIC,GRANITE,MAGMATIC_TEXTURE,PHANERITIC,,,,,,,,,,,,,,,,,,,,,PETRO,PETROPHYSICS,text,AREVA,PETRO,4729.39,,2522.73,,,,,,,2.47,7.40E-12,,,17,,,,,,,,,,
